NHGISNAM,ICPSRST,ICPSRCTY,GISJOIN,region
Columbia,42,270,G0500270,6
Conway,42,290,G0500290,6
Craighead,42,310,G0500310,6
Crawford,42,330,G0500330,6
Crittenden,42,350,G0500350,6
Cross,42,370,G0500370,6
Dallas,42,390,G0500390,6
Drew,42,430,G0500430,6
Faulkner,42,450,G0500450,6
Franklin,42,470,G0500470,6
Fulton,42,490,G0500490,6
Garland,42,510,G0500510,6
Grant,42,530,G0500530,6
Greene,42,550,G0500550,6
Hempstead,42,570,G0500570,6
Hot Spring,42,590,G0500590,6
Howard,42,610,G0500610,6
Independence,42,630,G0500630,6
Izard,42,650,G0500650,6
Jackson,42,670,G0500670,6
Johnson,42,710,G0500710,6
Lafayette,42,730,G0500730,6
Lawrence,42,750,G0500750,6
Lee,42,770,G0500770,6
Little River,42,810,G0500810,6
Logan,42,830,G0500830,6
Lonoke,42,850,G0500850,6
Madison,42,870,G0500870,6
Marion,42,890,G0500890,6
Montgomery,42,970,G0500970,6
Nevada,42,990,G0500990,6
Newton,42,1010,G0501010,6
Ouachita,42,1030,G0501030,6
Perry,42,1050,G0501050,6
Pike,42,1090,G0501090,6
Poinsett,42,1110,G0501110,6
Polk,42,1130,G0501130,6
Pope,42,1150,G0501150,6
Prairie,42,1170,G0501170,6
Pulaski,42,1190,G0501190,6
Randolph,42,1210,G0501210,6
St Francis,42,1230,G0501230,6
Saline,42,1250,G0501250,6
Scott,42,1270,G0501270,6
Searcy,42,1290,G0501290,6
Sebastian,42,1310,G0501310,6
Sevier,42,1330,G0501330,6
Sharp,42,1350,G0501350,6
Stone,42,1370,G0501370,6
Union,42,1390,G0501390,6
Van Buren,42,1410,G0501410,6
Washington,42,1430,G0501430,6
